warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-001797,SignatureDrift,High,13.8,vm_mmap,FALSE_POSITIVE,"vm_mmap: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,vm_mmap: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for vm_mmap; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-000660,SignatureDrift,High,13.4,genphy_read_abilities,FALSE_POSITIVE,"genphy_read_abilities: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is safe Rust API/unsafe-call metadata, so stale signature drift is unsupported.",FALSE_POSITIVE,genphy_read_abilities: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; safe Rust API/unsafe-call metadata does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for genphy_read_abilities; no concrete C diff, build breakage, or wrapper fix is present. Safe rust api/unsafe-call metadata is insufficient for TRUE drift.",,
W-001823,SignatureDrift,High,13.2,vmalloc,FALSE_POSITIVE,"vmalloc: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,vmalloc: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for vmalloc; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-000798,SignatureDrift,High,13.0,kernel_read_file,FALSE_POSITIVE,"kernel_read_file: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,kernel_read_file: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for kernel_read_file; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-001596,SignatureDrift,High,12.8,skb_copy,FALSE_POSITIVE,"skb_copy: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,skb_copy: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for skb_copy; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-001904,FieldDrift,High,12.6,device,FALSE_POSITIVE,"device: field evidence is 0 old fields to 40 new fields with empty/opaque generated binding representation, not a concrete source-backed struct diff. Rust exposure is generated bindings only; no oracle evidence.",FALSE_POSITIVE,"device: empty or opaque bindgen field lists are insufficient to prove C struct drift. With generated bindings only and no build/wrapper evidence, the warning is unsupported.",FALSE_POSITIVE,FALSE_POSITIVE: device relies on empty/opaque generated field-list evidence (0 old fields to 40 new fields) without concrete C source support or Rust contract dependence.,,
W-001905,FieldDrift,High,12.6,iov_iter,BENIGN_DRIFT,"iov_iter: old/new field lists show real drift (removed copy_mc), but Rust exposure is generated bindings only; no safe wrapper, build log, or wrapper-fix evidence shows impact.",BENIGN_DRIFT,iov_iter: generated binding exposure alone is not a stale-contract bug. The field drift (removed copy_mc) has no shown Rust abstraction or unsafe contract dependence.,BENIGN_DRIFT,"BENIGN_DRIFT: iov_iter field lists changed (removed copy_mc), but exposure is generated bindings only and no Rust contract, build breakage, or wrapper fix depends on it.",,
W-000746,SignatureDrift,High,12.4,ioremap,FALSE_POSITIVE,"ioremap: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,ioremap: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for ioremap; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-000530,SignatureDrift,High,12.2,early_memremap,FALSE_POSITIVE,"early_memremap: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is generated bindings only, so stale signature drift is unsupported.",FALSE_POSITIVE,early_memremap: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; generated bindings only does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for early_memremap; no concrete C diff, build breakage, or wrapper fix is present. Generated bindings only is insufficient for TRUE drift.",,
W-000664,SignatureDrift,High,12.2,genphy_read_status,FALSE_POSITIVE,"genphy_read_status: evidence is only old absent/new added, with no concrete old signature, source diff, build log, or wrapper-fix record. Rust exposure is safe Rust API/unsafe-call metadata, so stale signature drift is unsupported.",FALSE_POSITIVE,genphy_read_status: strict review rejects absent/added metadata without source/diff support. No build oracle or direct wrapper fix is present; safe Rust API/unsafe-call metadata does not prove a Rust contract changed.,FALSE_POSITIVE,"FALSE_POSITIVE: only absent/added metadata supports the signature claim for genphy_read_status; no concrete C diff, build breakage, or wrapper fix is present. Safe rust api/unsafe-call metadata is insufficient for TRUE drift.",,
